spec,bin_low,bin_high,games,mean_predicted,observed,standard_error
srs,0.0,0.35,581,0.27040709158072807,0.2719449225473322,0.018460120371890255
srs,0.35,0.45,622,0.40201746332104976,0.3729903536977492,0.01939057639597468
srs,0.45,0.5,403,0.4753423019431965,0.4813895781637717,0.024889515276865365
srs,0.5,0.55,512,0.5254845185774628,0.513671875,0.022088824585087156
srs,0.55,0.65,990,0.599905102448023,0.5777777777777777,0.015697603795907306
srs,0.65,0.75,753,0.6995742455549427,0.702523240371846,0.016659400957158628
srs,0.75,1.0,594,0.8149367965551572,0.8080808080808081,0.01615821479018807
