season,strongest_team,replicates,seed,wins_old,wins_playin,mc_old,mc_playin,mc_se_old,mc_se_playin,mc_difference,mc_paired_se,mc_independent_se,exact_old,exact_playin,exact_difference
2021,UTAH,500000,20250921,195232,193854,0.390464,0.387708,0.0006899302351745429,0.0006890435497644543,-0.002756,0.00015579748866305563,0.0009750819159844982,0.3888833968840647,0.38612359892448,-0.0027597979595846978
2022,BOS,500000,20250921,131365,127751,0.26273,0.255502,0.000622419387712176,0.0006167993644549255,-0.007228,0.00015846628112984955,0.0008762689941975581,0.26188125561490405,0.25478464187532185,-0.007096613739582203
2023,BOS,500000,20250921,133805,132621,0.26761,0.265242,0.0006260908686444804,0.0006243215220317173,-0.002368,0.00011424890046570476,0.0008841759658981916,0.26715807406329123,0.26478685681504216,-0.002371217248249069
2024,BOS,500000,20250921,288707,291655,0.577414,0.58331,0.0006985800921927278,0.0006972222657087193,0.005896,0.00020225369262664246,0.000986981779471131,0.5777229261428682,0.5837762411961143,0.006053315053246022
2025,OKC,500000,20250921,279012,289328,0.558024,0.578656,0.0007023292894704021,0.0006983025614502642,0.020632,0.00022033778216519402,0.0009904003726655195,0.5567780167077634,0.5775640774459249,0.02078606073816147
