season,team,old_round1,old_round2,old_conference,old_title,playin_round1,playin_round2,playin_conference,playin_title
2021,ATL,0.4742289248298681,0.16497404327506393,0.057291418975733185,0.012423087874923747,0.47422892482986817,0.16783853899077789,0.05775999136368627,0.012540323738274574
2021,BKN,0.6979538545946136,0.34964975910338914,0.17741284487380457,0.05892450967313334,0.7455281568452192,0.37348277214849607,0.19254117753659047,0.06396714097781937
2021,BOS,0.30204614540538643,0.0880928893313914,0.02850511804270734,0.005225041916215437,0.2547359367609435,0.08124630376765314,0.025736891814873555,0.004721772309252295
2021,CHA,0.0,0.0,0.0,0.0,0.017120891368175052,0.004166885120879467,0.0006440832096766365,5.574063446987218e-05
2021,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,DAL,0.25863681052146026,0.047629096936181656,0.016430098252915696,0.00569196401384681,0.25863681052146026,0.047607128943333646,0.01634326911077313,0.005685679294662282
2021,DEN,0.7029449637168651,0.34468666183052066,0.11348221423065882,0.05795631560961142,0.7029449637168651,0.34489556185917386,0.11394185771849766,0.058375292036645425
2021,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,GS,0.1025896508203934,0.026257716064493352,0.007157093280422124,0.001992707543947497,0.12091322774712733,0.03543449749424446,0.0067621965717874445,0.0018914949080006468
2021,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,IND,0.0,0.0,0.0,0.0,0.05096859630391676,0.017249986224135656,0.0038960298765282056,0.0005223094604085638
2021,LAC,0.7413631894785397,0.26048285491982637,0.147282388431167,0.08576402399371615,0.7413631894785396,0.2609764411905518,0.1469668901954974,0.0858103491393304
2021,LAL,0.30276241182123864,0.1224440986683336,0.026606094972383653,0.009967616275297537,0.22789348144183874,0.08981028202709651,0.02122444526116337,0.007982981733106034
2021,MEM,0.0,0.0,0.0,0.0,0.02661958336332542,0.006779573768861959,0.0018366027898672717,0.0005112769518706305
2021,MIA,0.17572225000246522,0.05201963022373193,0.013262088506346515,0.0018086058850429476,0.17572225000246522,0.052054625862595724,0.013572558543149036,0.0018535196475964932
2021,MIL,0.8242777499975348,0.5102377213414876,0.2983458269688706,0.11645378621596894,0.8242777499975347,0.5072162845500681,0.3002872812710412,0.11725927539518623
2021,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,NY,0.5257710751701319,0.18253893306704982,0.06325887683529664,0.013681498608100504,0.5257710751701319,0.1857086671424765,0.06377553564086991,0.013810464100043437
2021,OKC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,ORL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,PHI,0.8761687161304206,0.6217923305374429,0.3570525839588273,0.13849552449972094,0.8332069753067151,0.5913035896603477,0.3384047486464089,0.13131308913938586
2021,PHX,0.6972375881787614,0.43837080399789474,0.16415382223976707,0.09684056128004401,0.7278828820749538,0.45763827085824615,0.17201648120919888,0.10171632177224132
2021,POR,0.2970550362831349,0.09449843550325102,0.01695877620943786,0.0054600062131797055,0.2970550362831349,0.09504311988262186,0.017128043113618593,0.005538874546089745
2021,SA,0.0,0.0,0.0,0.0,0.005520469505218318,0.0008131414850338374,0.00012826609767688734,2.0804603336087805e-05
2021,SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
