season,team,games,wins,losses,pf,pa,conf,team_id,name,wins_espn,losses_espn,points_for,points_against,espn_seed,pf_gap,pa_gap
2023,BOS,82,57,25,9671,9136,Eastern,2,Boston Celtics,57,25,9671,9136,2,0,0
2023,CHA,82,27,55,9098,9610,Eastern,30,Charlotte Hornets,27,55,9098,9610,14,0,0
2023,CHI,82,40,42,9276,9170,Eastern,4,Chicago Bulls,40,42,9276,9170,9,0,0
2023,CLE,82,51,31,9205,8764,Eastern,5,Cleveland Cavaliers,51,31,9205,8764,4,0,0
2023,DAL,82,38,44,9366,9360,Western,6,Dallas Mavericks,38,44,9366,9360,11,0,0
2023,DEN,82,53,29,9495,9222,Western,7,Denver Nuggets,53,29,9495,9222,1,0,0
2023,DET,82,17,65,9045,9719,Eastern,8,Detroit Pistons,17,65,9045,9719,15,0,0
2023,GS,82,44,38,9753,9605,Western,9,Golden State Warriors,44,38,9753,9605,6,0,0
2023,HOU,82,22,60,9081,9725,Western,10,Houston Rockets,22,60,9081,9725,14,0,0
2023,IND,82,35,47,9535,9796,Eastern,11,Indiana Pacers,35,47,9535,9796,11,0,0
2023,LAC,82,44,38,9314,9273,Western,12,LA Clippers,44,38,9314,9273,5,0,0
2023,LAL,82,43,39,9608,9561,Western,13,Los Angeles Lakers,43,39,9608,9561,7,0,0
2023,MEM,82,51,31,9587,9264,Western,29,Memphis Grizzlies,51,31,9587,9264,2,0,0
2023,MIA,82,44,38,8977,9003,Eastern,14,Miami Heat,44,38,8977,9003,8,0,0
2023,MIL,82,58,24,9589,9291,Eastern,15,Milwaukee Bucks,58,24,9589,9291,1,0,0
2023,MIN,82,42,40,9494,9497,Western,16,Minnesota Timberwolves,42,40,9494,9497,8,0,0
2023,NO,82,42,40,9378,9223,Western,3,New Orleans Pelicans,42,40,9378,9223,10,0,0
2023,NY,82,47,35,9514,9274,Eastern,18,New York Knicks,47,35,9514,9274,5,0,0
2023,OKC,82,40,42,9633,9544,Western,25,Oklahoma City Thunder,40,42,9633,9544,9,0,0
2023,ORL,82,34,48,9136,9346,Eastern,19,Orlando Magic,34,48,9136,9346,13,0,0
2023,PHI,82,54,28,9448,9094,Eastern,20,Philadelphia 76ers,54,28,9448,9094,3,0,0
2023,PHX,82,45,37,9319,9149,Western,21,Phoenix Suns,45,37,9319,9149,4,0,0
2023,POR,82,33,49,9299,9628,Western,22,Portland Trail Blazers,33,49,9299,9628,13,0,0
2023,SA,82,22,60,9269,10092,Western,24,San Antonio Spurs,22,60,9269,10092,15,0,0
2023,SAC,82,48,34,9898,9681,Western,23,Sacramento Kings,48,34,9898,9681,3,0,0
2023,TOR,82,41,41,9254,9133,Eastern,28,Toronto Raptors,41,41,9254,9133,10,0,0
